Participant_ID,Gender_M,Age,Ethnicity,Q4_6_TEXT,Education,Income,Home_Area,Politics,Q8_6_TEXT,Recreation_Freq,Q10,Hunting or fishing,Q10_11_TEXT,Q12,Q12_6_TEXT,Q43,Q14,Q13_1,Q13_12,Q13_13,Q13_2,Q13_14,Q13_15,Q13_16,Q13_17,Q13_18,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q15,Q16,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q45,Q45_4_TEXT,Q48,Q49,Q50,Q51,Q20,Q22_1,Q22_2,Q22_3,Q22_17,Q22_18,Q22_19,Q22_20,Q22_21,Q22_4,Q22_22,Q22_23,Q22_24,Q22_25,Q22_26,Q22_27,Q22_28,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q26_1,Q26_2,Q26_3,Q26_10,Q26_11,Q26_12,Q26_13,Q26_14,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q29,Q30,Q31,Q32,Q33,Q52,Q34,Q35,Q53,Q36,Q37,Q54,Q56,Q55,Q58,Q57,Q59,Q60,MID,Excluded
162,1,31,"African American or Black,Caucasian or White",,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Suburban/edge of a large city,Moderate,,Sometimes (A few times a year),Other,0,walking,I feed other kinds of animals around my home,,birds deer foxs,I remenber when i saw a couple of deer cross my street,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,flying rats,they where cool,Never,A Little (About once a year),Never,A Little (About once a year),Never,Never,Never,Never,Neutrally,,No,,No,,i remeber i literally had a bat in my belfree and i had to get them out,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,they are cool,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,3 - I might do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,TRUE,I don't know,FALSE,FALSE,Mammals,Sonar,Insects,I don't know,I don't know,I don't know,Yes,Yes,Yes,I don't know,I don't know,Yes,I don't know,I don't know,,
163,1,33,Caucasian or White,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Urban/downtown/high density,Moderate,,Often (About once a month),"Hiking,Backpacking,Cycling/Mountain biking,Kayaking/Canoeing",0,,"I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"deer, bears, squirrels",I got up close with a deer.,Somewhat disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Disagree,Agree,Somewhat disagree,Strongly disagree,Strongly disagree,"vampires, batman",interested,A Little (About once a year),Never,Sometimes (A few times per year),A Little (About once a year),Often (Once a month),Often (Once a month),Never,Often (Once a month),"Positively,Negatively",,No,,No,,n/a,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly Agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,I think they are fascinating.,3 - I might do this,4 - I'm very likely to do this,2 - I probably would not do this,4 - I'm very likely to do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,1 - I would absolutely not do this,3 - I might do this,4 - I'm very likely to do this,3 - I might do this,5 - I would definitely do this,5 - I would definitely do this,3 - I might do this,1 - I would absolutely not do this,4 - I'm very likely to do this,5 - I would definitely do this,3 - I might do this,4 - I'm very likely to do this,TRUE,I don't know,FALSE,FALSE,Mammals,Echolocation,Fruit,I don't know,A disease called White-Nose Syndrome,I don't know,I don’t know,Yes,I don't know,I don't know,I don't know,Yes,Yes,I don't know,,
164,1,23,African American or Black,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Suburban/edge of a large city,Very liberal,,Rarely (About once a year),Cycling/Mountain biking,0,,Other,none,"birds, deer, bears","going to the zoo as a kid was always fun, because i could see the animals up close and pet some of them",Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Strongly Agree,"nocturnal, live in caves",i was neutral towards them. i have never actually seen a bat,Never,Never,Never,Never,Never,Never,Never,Often (Once a month),Negatively,,No,,No,,NA,Disagree,Neither agree nor disagree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Strongly Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,none,4 - I'm very likely to do this,2 - I probably would not do this,5 - I would definitely do this,2 - I probably would not do this,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,2 - I probably would not do this,4 - I'm very likely to do this,3 - I might do this,5 - I would definitely do this,3 - I might do this,3 - I might do this,2 - I probably would not do this,2 - I probably would not do this,4 - I'm very likely to do this,TRUE,I don't know,I don't know,I don't know,Birds,Echolocation,I don't know,I don't know,I don't know,I don't know,I don’t know,No,I don't know,I don't know,No,I don't know,I don't know,I don't know,,
165,1,56,Caucasian or White,,"Graduate or professional degree (e.g MS, MA, JD, MD, PhD)","$100,000 - $199,999",Suburban/edge of a large city,Somewhat conservative,,Sometimes (A few times a year),"Hiking,Cycling/Mountain biking,Kayaking/Canoeing,Fishing,Skiing/snowboarding",1,,"I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,"deer, black bears, birds, raccoons",While biking through the berkshires in MA we came across a black bear mom and her cubs crossing path,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"caves, rodents, ",scarred,Never,Never,Never,Never,A Little (About once a year),A Little (About once a year),Never,Sometimes (A few times per year),Negatively,,No,,No,,n/a,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,they look like rats with wings,2 - I probably would not do this,5 - I would definitely do this,5 - I would definitely do this,2 - I probably would not do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,1 - I would absolutely not do this,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,2 - I probably would not do this,2 - I probably would not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,TRUE,I don't know,FALSE,I don't know,Mammals,Echolocation,Fruit,100,Habitat loss from humans moving into bat caves,Pup,I don’t know,No,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,
166,1,28,"Native American, Eskimo or Aleut",,"Graduate or professional degree (e.g MS, MA, JD, MD, PhD)",$0 - $49.999,Urban/downtown/high density,Moderate,,Sometimes (A few times a year),Camping,0,,I have a bird feeder in my home,,TIGER,GOOD,Agree,Somewhat agree,Agree,Strongly Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,TIGER,GOOD,A Little (About once a year),Never,A Little (About once a year),Never,A Little (About once a year),Never,A Little (About once a year),Never,Positively,,Yes,LION,Yes,TREES,IT IS VERY INTELLIGERNT BIRD,Agree,Somewhat agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,GOOD,2 - I probably would not do this,3 - I might do this,4 - I'm very likely to do this,3 - I might do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,5 - I would definitely do this,2 - I probably would not do this,3 - I might do this,5 - I would definitely do this,2 - I probably would not do this,3 - I might do this,4 - I'm very likely to do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,3 - I might do this,TRUE,TRUE,FALSE,TRUE,Reptiles,Sonar,Fruit,100,Poaching for the global batwing trade,Calf,Yes,No,Yes,Yes,Yes,Yes,No,Yes,,
167,1,25,Caucasian or White,,High school degree or equivalent (e.g. GED),$0 - $49.999,Rural,Somewhat conservative,,Often (About once a month),"Hiking,Hunting,Fishing",1,,"I have a bird feeder in my home,I feed other kinds of animals around my home,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,Anything that is native to the wild. Things like deer and wolves; things that are familiar to my locale.,"One day, I almost ran over a pack of coyotes that ran out into the road. It scared the hell out of me.",Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,"Caves, Screeching, flying, vampires, horror",I was indifferent. I was never afraid of them like other people are.,A Little (About once a year),Never,A Little (About once a year),Never,Never,Never,Never,All the time (Daily-weekly),Negatively,,No,,No,,I've never had an interaction with them.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,I think you pretty much covered it. They're interesting but misunderstood.,1 - I would absolutely not do this,1 - I would absolutely not do this,4 - I'm very likely to do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,5 - I would definitely do this,3 - I might do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,4 - I'm very likely to do this,2 - I probably would not do this,TRUE,TRUE,FALSE,FALSE,Mammals,Echolocation,Fruit,1000,"Over-use of fertilizers, resulting in eutrophication",Kit,Yes,No,I don't know,I don't know,Yes,Yes,Yes,No,,
168,0,34,African American or Black,,"Some college, no degree",$0 - $49.999,Small city or town,Somewhat liberal,,Often (About once a month),"Camping,Fishing",1,,"I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,LIONS,WHEN I GO TO THE ZOO AND SEE ALL THE DIFFERENT TYPES OF ANIMALS THERE  MY KIDS ALWAYS ENJOY IT LAST TIME WE GOT TO FEED A STINGRAY AND WE ALL THAT THAT WAS REALLY COOL,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,FEAR IM SCARED OF BATS,I THOUGHT THEY WERE EVIL BECAUSE AT A YOUNG AGE I SAW A MOVIE ABOUT A KILLER BAT,Never,Never,A Little (About once a year),Never,Never,Never,Never,Never,"Negatively,Comments:",THEY ARE ALWAYS EVIL,No,,No,,I HAVE NEVER HAD ANY INTERACTION,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,,2 - I probably would not do this,5 - I would definitely do this,2 - I probably would not do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,2 - I probably would not do this,2 - I probably would not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,TRUE,TRUE,I don't know,,I don't know,Radar,I don't know,I don't know,I don't know,I don't know,I don’t know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,
169,0,24,Caucasian or White,,"Bachelor's degree (e.g. BS, BA, AB)","$50,000 - $99,999",Suburban/edge of a large city,Moderate,,Sometimes (A few times a year),Fishing,1,,"I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,"bears, elephants, tigers, lions",I can never forget the first time i visited the zoo in the city. i was in my 4th grade and it was a school trip. the awe and wonder i experienced at the majesty of those animals still lingers on me.,Disagree,Disagree,Neither agree nor disagree,Strongly Agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,batman,"i was kinda curious, reading batman comics",Sometimes (A few times per year),Never,Sometimes (A few times per year),Never,Never,Never,Never,All the time (Daily-weekly),"Negatively,Comments:",they are considered as a symbol of darkness,No,,No,,,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,,1 - I would absolutely not do this,1 - I would absolutely not do this,3 - I might do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,5 - I would definitely do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,2 - I probably would not do this,1 - I would absolutely not do this,TRUE,FALSE,FALSE,TRUE,Mammals,Echolocation,Insects,250,I don't know,I don't know,Yes,Yes,I don't know,I don't know,I don't know,Yes,Yes,I don't know,,
170,1,27,"Native American, Eskimo or Aleut",,"Bachelor's degree (e.g. BS, BA, AB)","$50,000 - $99,999",Urban/downtown/high density,Moderate,,Sometimes (A few times a year),Hiking,0,,I feed other kinds of animals around my home,,tiger,yes,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,rappit,happy,Sometimes (A few times per year),Often (Once a month),All the time (Daily-weekly),Often (Once a month),All the time (Daily-weekly),Often (Once a month),All the time (Daily-weekly),Often (Once a month),Positively,,Yes,rabbit,Yes,yes,good,Somewhat disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Somewhat disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,best movment,2 - I probably would not do this,1 - I would absolutely not do this,2 - I probably would not do this,1 - I would absolutely not do this,2 - I probably would not do this,1 - I would absolutely not do this,2 - I probably would not do this,2 - I probably would not do this,1 - I would absolutely not do this,2 - I probably would not do this,1 - I would absolutely not do this,2 - I probably would not do this,1 - I would absolutely not do this,2 - I probably would not do this,1 - I would absolutely not do this,2 - I probably would not do this,2 - I probably would not do this,1 - I would absolutely not do this,2 - I probably would not do this,TRUE,TRUE,TRUE,TRUE,Birds,Batdar,Fruit,100,Vehicle pollution,Joey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
171,1,28,Caucasian or White,,"Bachelor's degree (e.g. BS, BA, AB)","$50,000 - $99,999",Suburban/edge of a large city,Somewhat liberal,,Rarely (About once a year),Cycling/Mountain biking,0,,"I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"If you're an animal lover, volunteering your time at a wildlife sanctuary offers the chance to surround yourself with creatures you love while doing some good at the same time. And for those looking for a volunteering destination, the African continent with its iconic wildlife is an obvious pick. But before you book that flight, there are a few things to consider. Not all wildlife sanctuaries were created equal, and there are important questions you should ask to ensure you'll be devoting your time to a sanctuary or project with solid credentials, and one that has animal welfare and conservation at its heart. Here's what you should to consider, courtesy of Conservation Travel Africa: ","When I traveled to Peru, I had a pretty awesome experience with a llama in Machu Picchu. The cutie was relaxing on one of the terraces and I was able to go right up to him and pet him. It was so frickin’ cool! So I got to thinking… I wonder what other memorable animal encounters people have had?",Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,"bat, winged mammal of the order Chiroptera, which includes 900–1,000 species classified in about 200 genera and 17 families. Bats range in size from a wingspread of over 5 ft (150 cm) to a wingspread of less than 2 in. (5 cm). They are found in nearly all parts of the world but are most numerous in the tropics; there are about 39 species in the United States. Most bats are economically valuable because of the large number of insects they consume.","ets face it, bats get a pretty bad rep. Many times in the media they are portrayed as scary, blood sucking, rabid creatures. The vast majority of bats will never get rabies. And quite a few species can be pretty darn cute! As someone who has spent time studying bats in the wild, I jumped at the opportunity to share what I’ve learned with others—it’s something I believe all biologists should do. Here are my reasons for liking bats (and why you should like them too!).",A Little (About once a year),Sometimes (A few times per year),Often (Once a month),Sometimes (A few times per year),Often (Once a month),Sometimes (A few times per year),All the time (Daily-weekly),Sometimes (A few times per year),Positively,,Maybe,,Maybe,,"Australian bat lyssavirus (ABLV) infects a number of flying fox and insectivorous bats species in Australia. Human infection with ABLV is inevitably fatal unless prior vaccination and/or post-exposure treatment (PET) is given. Despite ongoing public health messaging about the risks associated with bat contact, surveillance data have revealed a four-fold increase in the number of people receiving PET for bat exposure in NSW between 2007 and 2011. Our study aimed to better understand these human – bat interactions in order to identify additional risk communication messages that could lower the risk of potential ABLV exposure. All people aged 18 years or over whom received PET for non-occupation related potential ABLV exposure in the Hunter New England Local Health District of Australia between July 2011 and July 2013 were considered eligible for the study. Eligible participants were invited to a telephone interview to explore the circumstances of their bat contact. Interviews were then transcribed and thematically analysed by two independent investigators.",Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Disagree,"“I remember holding her up for the public and looking at the faces in the crowd and seeing how much joy they had,” MacCorkle says. “It’s nice to take a moment and see how they touch humans
Read more: https://www.smithsonianmag.com/smithsonian-institution/its-easy-fall-love-panda-do-they-love-us-back-180962106/#3zX0Pg0w843cpFko.99
Give the gift of Smithsonian magazine for only $12! http://bit.ly/1cGUiGv
Follow us: @SmithsonianMag on Twitter",4 - I'm very likely to do this,3 - I might do this,2 - I probably would not do this,3 - I might do this,4 - I'm very likely to do this,2 - I probably would not do this,3 - I might do this,2 - I probably would not do this,3 - I might do this,2 - I probably would not do this,1 - I would absolutely not do this,2 - I probably would not do this,4 - I'm very likely to do this,2 - I probably would not do this,4 - I'm very likely to do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,2 - I probably would not do this,TRUE,TRUE,TRUE,FALSE,Reptiles,Batdar,Lizards and mice,250,"Over-use of fertilizers, resulting in eutrophication",Pup,Yes,Yes,Yes,Yes,No,No,No,Yes,,
172,1,29,Caucasian or White,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Urban/downtown/high density,Somewhat liberal,,All the time (Once a week or more),"Hiking,Cycling/Mountain biking,Camping",0,,"I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"Squirrels, birds, skunks, woodchucks",Almost got bit by an alligator when I was a kid,Disagree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Somewhat agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,"Vampires, blood",They felt mysterious to me,A Little (About once a year),Never,Sometimes (A few times per year),Sometimes (A few times per year),Never,A Little (About once a year),Never,Often (Once a month),Negatively,,No,,No,,Don't have any but have seen them flying around,Disagree,Disagree,Disagree,Somewhat disagree,Agree,Agree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat disagree,Disagree,Neither agree nor disagree,Agree,,4 - I'm very likely to do this,2 - I probably would not do this,4 - I'm very likely to do this,1 - I would absolutely not do this,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,2 - I probably would not do this,2 - I probably would not do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,1 - I would absolutely not do this,3 - I might do this,2 - I probably would not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,4 - I'm very likely to do this,TRUE,I don't know,I don't know,TRUE,Reptiles,Echolocation,Fruit,I don't know,Habitat loss from humans moving into bat caves,I don't know,I don’t know,I don't know,I don't know,I don't know,I don't know,Yes,I don't know,I don't know,,
173,1,33,Caucasian or White,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Urban/downtown/high density,Moderate,,Rarely (About once a year),Fishing,1,,"I feed other kinds of animals around my home,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"Animals that are not domesticated or tamed and roam free in nature. Typical wildlife around me features birds, raccoons, beavers, ground hogs, squirrels, skunks, rabbits,  foxes, fish, snakes, turtles.",I'd have to say a recent memory comes to mind. I was standing on my lawn when I see a gigantic red tail hawk swoop down onto the lawn across the street. It grabbed a baby rabbit. My instinct was to make noise and scare the hawk into letting the bunny go. Then I realized fairly  quickly this is nature and that I shouldn't interrupt what would naturally occur. ,Strongly disagree,Disagree,Disagree,Somewhat disagree,Disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,"Fascinating, harmless, cool",I was scared of them as a kid. ,Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Never,Never,Never,Sometimes (A few times per year),Negatively,,No,,No,,"There must be a dwelling near me where they congregate because when I would walk my dog at night, they would fly and screech. Sort of threw me off at first because I didn't know what they were but then I realized they were bats and not birds. ",Strongly disagree,Somewhat disagree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly Agree,Somewhat disagree,Disagree,Disagree,Strongly Agree,Nothing that I can think of. I actually didn't even know they could be considered pests though. ,3 - I might do this,1 - I would absolutely not do this,4 - I'm very likely to do this,1 - I would absolutely not do this,1 - I would absolutely not do this,4 - I'm very likely to do this,4 - I'm very likely to do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,2 - I probably would not do this,2 - I probably would not do this,4 - I'm very likely to do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,4 - I'm very likely to do this,TRUE,I don't know,FALSE,FALSE,Mammals,Echolocation,Insects,I don't know,I don't know,Pup,I don’t know,Yes,I don't know,I don't know,I don't know,Yes,Yes,I don't know,,
174,1,44,Caucasian or White,,"Associate's Degree (e.g. AA, AS)",$0 - $49.999,Suburban/edge of a large city,Somewhat conservative,,Often (About once a month),"Hiking,Camping,Kayaking/Canoeing,Fishing",1,,"I have a bird feeder in my home,I feed other kinds of animals around my home,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"Birds, Deer, Raccoons, Opossums, Fish",I have a small pond in my backyard. I created the pond myself and after a year or so I now have toads that come and lay eggs in my pond every year.,Strongly disagree,Strongly disagree,Disagree,Somewhat disagree,Strongly disagree,Strongly Agree,Strongly Agree,Somewhat agree,Disagree,Strongly Agree,Somewhat agree,Agree,Strongly Agree,Agree,"Blind, Radar, Night, Flying mammal",I was fascinated by them.,Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Never,Never,Never,Sometimes (A few times per year),Negatively,,No,,No,,I have only observed bats. They fly around lights at night where I live and catch the bugs flying around the lights.,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly Agree,Somewhat agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly Agree,I cannot think of anything else.,4 - I'm very likely to do this,2 - I probably would not do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,3 - I might do this,4 - I'm very likely to do this,3 - I might do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,5 - I would definitely do this,3 - I might do this,3 - I might do this,2 - I probably would not do this,3 - I might do this,2 - I probably would not do this,TRUE,FALSE,FALSE,FALSE,Mammals,Echolocation,Insects,I don't know,I don't know,I don't know,Yes,I don't know,I don't know,I don't know,I don't know,Yes,Yes,No,,
175,1,28,Caucasian or White,,High school degree or equivalent (e.g. GED),$0 - $49.999,Small city or town,Somewhat liberal,,All the time (Once a week or more),"Hiking,Cycling/Mountain biking",0,,"I feed other kinds of animals around my home,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,"When I think of wildlife, I think of birds, raccoons, squirrels, deer, and reptiles.","My most memorable interaction with wildlife was when I nursed a pigeon that hurt its wing back to health. After about a month, it was able to fly away on its own.",Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly Agree,Strongly disagree,Strongly Agree,Somewhat agree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I think of wings, blind, sonar, and nocturnal when I think of bats.",I remember as a kid feeling amazed by bats. I loved their iconic shape as they fly through the air.,Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),A Little (About once a year),Never,A Little (About once a year),Negatively,,No,,No,,"As a kid, a friend had a lighted in ground pool. At night we would turn the lights on in the pool and used a special snorkel to look up from under that water. We would watch the bats fly down and skim insects off the pool surface.",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly Agree,I think bats are very necessary to nature.,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,5 - I would definitely do this,3 - I might do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,4 - I'm very likely to do this,1 - I would absolutely not do this,TRUE,I don't know,FALSE,FALSE,Mammals,Sonar,Nectar,100,Habitat loss from humans moving into bat caves,Pup,Yes,Yes,I don't know,I don't know,I don't know,Yes,Yes,I don't know,,
